EmployeeNumber,Gender,City,JobTitle,AbsentHours
1,F,Burnaby,Baker,36.57730606
2,M,Courtenay,Baker,30.16507231
3,M,Richmond,Baker,83.80779766
4,F,Victoria,Baker,70.02016505
5,M,New Westminster,Baker,0
6,M,Richmond,Baker,81.83007916
7,M,Vancouver,Accounting Clerk,60.49507152
8,M,Sechelt,Baker,30.07290192
9,M,New Westminster,Baker,181.630819
10,M,Vancouver,Accounting Clerk,30.66440832
11,M,New Westminster,Baker,28.01835332
12,M,Kamloops,Baker,0
13,M,North Vancouver,Baker,0
14,F,Vananda,Baker,34.33444296
15,M,Vancouver,Accounting Clerk,0
16,M,Vancouver,Accounting Clerk,21.65982312
17,F,Vancouver,Accounting Clerk,0
18,F,West Vancouver,Baker,55.09983109
19,F,New Westminster,Baker,81.59554037
20,F,Vancouver,Accounting Clerk,94.66856131
21,M,Burnaby,Baker,108.3801763
22,F,New Westminster,Baker,0
23,F,Vancouver,Accounting Clerk,67.74078948
24,F,Victoria,Baker,158.7045089
25,M,Nanaimo,Baker,0
26,F,Aldergrove,Baker,48.0170507
27,M,Kelowna,Baker,42.78802656
28,M,Trail,Baker,34.52427221
29,M,Vancouver,Accounting Clerk,59.88316464
30,M,Aldergrove,Baker,100.6740987
31,M,Penticton,Baker,9.522523814
32,F,Vancouver,Accounting Clerk,38.88332344
33,M,Duncan,Baker,129.8357633
34,M,Kelowna,Baker,44.2731088
35,F,Crawford Bay,Baker,0
36,M,Vancouver,Accounting Clerk,0
37,F,Courtenay,Baker,75.25704812
38,F,Port Hardy,Baker,58.97153025
39,M,Kelowna,Baker,134.6683839
40,M,Logan Lake,Baker,0
41,F,Abbotsford,Baker,78.34173929
42,M,Dawson Creek,Baker,168.9957664
43,F,Burnaby,Baker,56.21994065
44,M,Surrey,Baker,152.6467667
45,F,Victoria,Baker,0
46,F,Surrey,Baker,80.24254043
47,M,Vancouver,Accounting Clerk,78.7532824
48,M,Squamish,Baker,0
49,F,Good Hope Lake,Baker,88.91127783
50,M,Vancouver,Accounting Clerk,21.38553248
51,M,Burnaby,Baker,3.737100223
52,M,Penticton,Baker,38.06658377
53,M,New Westminster,Baker,116.2269635
54,F,Nanaimo,Baker,0
55,M,Abbotsford,Baker,0
56,F,Sidney,Baker,77.13030678
57,M,Coquitlam,Baker,0
58,M,Chilliwack,Baker,24.79287091
59,M,Okanagan Mission,Baker,121.4480075
60,M,New Westminster,Baker,59.7836809
61,M,Ganges,Baker,55.62426288
62,F,Vancouver,Accounts Payable Clerk,0
63,F,Prince George,Baker,0
64,M,Atlin,Baker,55.05895104
65,F,Kamloops,Baker,44.6346054
66,M,Whistler,Baker,42.45739254
67,F,Surrey,Baker,0
68,F,Vancouver,Accounts Payable Clerk,0
69,F,Spences Bridge,Baker,107.7955005
70,M,Vancouver,Accounts Payable Clerk,78.84098352
71,M,New Westminister,Baker,110.1543068
72,F,Gibsons,Baker,33.93440994
73,M,Vernon,Baker,28.60483097
74,F,Burnaby,Baker,44.9874293
75,F,Fauquier,Baker,126.5011301
76,F,Victoria,Baker,19.6191458
77,M,Kamloops,Baker,0
78,M,Vancouver,Accounts Payable Clerk,44.97411152
79,F,Mackenzie,Baker,45.95478779
80,F,New Westminster,Baker,83.3173005
81,F,Squamish,Baker,136.3424045
82,M,Nanaimo,Baker,53.3120259
83,F,Gold Bridge,Baker,96.6132406
84,F,Penticton,Baker,140.9111414
85,M,Victoria,Baker,31.69229831
86,M,New Westminster,Baker,12.68410865
87,M,Vancouver,Accounts Payable Clerk,54.30033232
88,F,Vancouver,Accounts Payable Clerk,0
89,F,Duncan,Baker,103.3493697
90,F,Kelowna,Baker,0
91,F,Good Hope Lake,Baker,49.84641191
92,F,Vancouver,Accounts Payable Clerk,58.28770605
93,M,Victoria,Baker,110.8124796
94,F,Fort Fraser,Baker,158.6843997
95,F,Victoria,Baker,73.47603875
96,M,Nelson,Baker,2.187241945
97,F,New Westminster,Baker,99.80856689
98,F,Kamloops,Baker,34.77626973
99,F,Kaslo,Baker,0
